Test Case,n,m,p
1,2,2,0
2,2,2,1
3,2,2,5
4,2,2,10
5,2,2,11
6,2,3,0
7,2,3,1
8,2,3,5
9,2,3,10
10,2,3,11
11,2,3,0
12,2,3,1
13,2,3,5
14,2,3,10
15,2,3,11
16,2,3,0
17,2,3,1
18,2,3,5
19,2,3,10
20,2,3,11
21,2,4,0
22,2,4,1
23,2,4,5
24,2,4,10
25,2,4,11
26,3,2,0
27,3,2,1
28,3,2,5
29,3,2,10
30,3,2,11
31,3,3,0
32,3,3,1
33,3,3,5
34,3,3,10
35,3,3,11
36,3,3,0
37,3,3,1
38,3,3,5
39,3,3,10
40,3,3,11
41,3,3,0
42,3,3,1
43,3,3,5
44,3,3,10
45,3,3,11
46,3,4,0
47,3,4,1
48,3,4,5
49,3,4,10
50,3,4,11
51,11,2,0
52,11,2,1
53,11,2,5
54,11,2,10
55,11,2,11
56,11,3,0
57,11,3,1
58,11,3,5
59,11,3,10
60,11,3,11
61,11,3,0
62,11,3,1
63,11,3,5
64,11,3,10
65,11,3,11
66,11,3,0
67,11,3,1
68,11,3,5
69,11,3,10
70,11,3,11
71,11,4,0
72,11,4,1
73,11,4,5
74,11,4,10
75,11,4,11
76,19,2,0
77,19,2,1
78,19,2,5
79,19,2,10
80,19,2,11
81,19,3,0
82,19,3,1
83,19,3,5
84,19,3,10
85,19,3,11
86,19,3,0
87,19,3,1
88,19,3,5
89,19,3,10
90,19,3,11
91,19,3,0
92,19,3,1
93,19,3,5
94,19,3,10
95,19,3,11
96,19,4,0
97,19,4,1
98,19,4,5
99,19,4,10
100,19,4,11
101,20,2,0
102,20,2,1
103,20,2,5
104,20,2,10
105,20,2,11
106,20,3,0
107,20,3,1
108,20,3,5
109,20,3,10
110,20,3,11
111,20,3,0
112,20,3,1
113,20,3,5
114,20,3,10
115,20,3,11
116,20,3,0
117,20,3,1
118,20,3,5
119,20,3,10
120,20,3,11
121,20,4,0
122,20,4,1
123,20,4,5
124,20,4,10
125,20,4,11
