Test Case,n,m,p
1,1,1,-1
2,1,1,0
3,1,1,1
4,1,1,5
5,1,1,10
6,1,1,11
7,1,1,12
8,1,2,-1
9,1,2,0
10,1,2,1
11,1,2,5
12,1,2,10
13,1,2,11
14,1,2,12
15,1,3,-1
16,1,3,0
17,1,3,1
18,1,3,5
19,1,3,10
20,1,3,11
21,1,3,12
22,1,3,-1
23,1,3,0
24,1,3,1
25,1,3,5
26,1,3,10
27,1,3,11
28,1,3,12
29,1,3,-1
30,1,3,0
31,1,3,1
32,1,3,5
33,1,3,10
34,1,3,11
35,1,3,12
36,1,4,-1
37,1,4,0
38,1,4,1
39,1,4,5
40,1,4,10
41,1,4,11
42,1,4,12
43,1,5,-1
44,1,5,0
45,1,5,1
46,1,5,5
47,1,5,10
48,1,5,11
49,1,5,12
50,2,1,-1
51,2,1,0
52,2,1,1
53,2,1,5
54,2,1,10
55,2,1,11
56,2,1,12
57,2,2,-1
58,2,2,0
59,2,2,1
60,2,2,5
61,2,2,10
62,2,2,11
63,2,2,12
64,2,3,-1
65,2,3,0
66,2,3,1
67,2,3,5
68,2,3,10
69,2,3,11
70,2,3,12
71,2,3,-1
72,2,3,0
73,2,3,1
74,2,3,5
75,2,3,10
76,2,3,11
77,2,3,12
78,2,3,-1
79,2,3,0
80,2,3,1
81,2,3,5
82,2,3,10
83,2,3,11
84,2,3,12
85,2,4,-1
86,2,4,0
87,2,4,1
88,2,4,5
89,2,4,10
90,2,4,11
91,2,4,12
92,2,5,-1
93,2,5,0
94,2,5,1
95,2,5,5
96,2,5,10
97,2,5,11
98,2,5,12
99,3,1,-1
100,3,1,0
101,3,1,1
102,3,1,5
103,3,1,10
104,3,1,11
105,3,1,12
106,3,2,-1
107,3,2,0
108,3,2,1
109,3,2,5
110,3,2,10
111,3,2,11
112,3,2,12
113,3,3,-1
114,3,3,0
115,3,3,1
116,3,3,5
117,3,3,10
118,3,3,11
119,3,3,12
120,3,3,-1
121,3,3,0
122,3,3,1
123,3,3,5
124,3,3,10
125,3,3,11
126,3,3,12
127,3,3,-1
128,3,3,0
129,3,3,1
130,3,3,5
131,3,3,10
132,3,3,11
133,3,3,12
134,3,4,-1
135,3,4,0
136,3,4,1
137,3,4,5
138,3,4,10
139,3,4,11
140,3,4,12
141,3,5,-1
142,3,5,0
143,3,5,1
144,3,5,5
145,3,5,10
146,3,5,11
147,3,5,12
148,11,1,-1
149,11,1,0
150,11,1,1
151,11,1,5
152,11,1,10
153,11,1,11
154,11,1,12
155,11,2,-1
156,11,2,0
157,11,2,1
158,11,2,5
159,11,2,10
160,11,2,11
161,11,2,12
162,11,3,-1
163,11,3,0
164,11,3,1
165,11,3,5
166,11,3,10
167,11,3,11
168,11,3,12
169,11,3,-1
170,11,3,0
171,11,3,1
172,11,3,5
173,11,3,10
174,11,3,11
175,11,3,12
176,11,3,-1
177,11,3,0
178,11,3,1
179,11,3,5
180,11,3,10
181,11,3,11
182,11,3,12
183,11,4,-1
184,11,4,0
185,11,4,1
186,11,4,5
187,11,4,10
188,11,4,11
189,11,4,12
190,11,5,-1
191,11,5,0
192,11,5,1
193,11,5,5
194,11,5,10
195,11,5,11
196,11,5,12
197,19,1,-1
198,19,1,0
199,19,1,1
200,19,1,5
201,19,1,10
202,19,1,11
203,19,1,12
204,19,2,-1
205,19,2,0
206,19,2,1
207,19,2,5
208,19,2,10
209,19,2,11
210,19,2,12
211,19,3,-1
212,19,3,0
213,19,3,1
214,19,3,5
215,19,3,10
216,19,3,11
217,19,3,12
218,19,3,-1
219,19,3,0
220,19,3,1
221,19,3,5
222,19,3,10
223,19,3,11
224,19,3,12
225,19,3,-1
226,19,3,0
227,19,3,1
228,19,3,5
229,19,3,10
230,19,3,11
231,19,3,12
232,19,4,-1
233,19,4,0
234,19,4,1
235,19,4,5
236,19,4,10
237,19,4,11
238,19,4,12
239,19,5,-1
240,19,5,0
241,19,5,1
242,19,5,5
243,19,5,10
244,19,5,11
245,19,5,12
246,20,1,-1
247,20,1,0
248,20,1,1
249,20,1,5
250,20,1,10
251,20,1,11
252,20,1,12
253,20,2,-1
254,20,2,0
255,20,2,1
256,20,2,5
257,20,2,10
258,20,2,11
259,20,2,12
260,20,3,-1
261,20,3,0
262,20,3,1
263,20,3,5
264,20,3,10
265,20,3,11
266,20,3,12
267,20,3,-1
268,20,3,0
269,20,3,1
270,20,3,5
271,20,3,10
272,20,3,11
273,20,3,12
274,20,3,-1
275,20,3,0
276,20,3,1
277,20,3,5
278,20,3,10
279,20,3,11
280,20,3,12
281,20,4,-1
282,20,4,0
283,20,4,1
284,20,4,5
285,20,4,10
286,20,4,11
287,20,4,12
288,20,5,-1
289,20,5,0
290,20,5,1
291,20,5,5
292,20,5,10
293,20,5,11
294,20,5,12
295,21,1,-1
296,21,1,0
297,21,1,1
298,21,1,5
299,21,1,10
300,21,1,11
301,21,1,12
302,21,2,-1
303,21,2,0
304,21,2,1
305,21,2,5
306,21,2,10
307,21,2,11
308,21,2,12
309,21,3,-1
310,21,3,0
311,21,3,1
312,21,3,5
313,21,3,10
314,21,3,11
315,21,3,12
316,21,3,-1
317,21,3,0
318,21,3,1
319,21,3,5
320,21,3,10
321,21,3,11
322,21,3,12
323,21,3,-1
324,21,3,0
325,21,3,1
326,21,3,5
327,21,3,10
328,21,3,11
329,21,3,12
330,21,4,-1
331,21,4,0
332,21,4,1
333,21,4,5
334,21,4,10
335,21,4,11
336,21,4,12
337,21,5,-1
338,21,5,0
339,21,5,1
340,21,5,5
341,21,5,10
342,21,5,11
343,21,5,12
